Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
06-01-2026,02:13,05-01-2026,,,Degiro Cash Sweep Transfer,,EUR,"-1,66",EUR,"3,80",
06-01-2026,02:13,05-01-2026,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,66 EUR",,,,EUR,"5,46",
04-01-2026,15:00,02-01-2026,,,Flatex Interest Income,,EUR,"0,00",EUR,"3,80",
03-01-2026,13:12,03-01-2026,,,DEGIRO Compensación de fondos del mercado monetario,,EUR,"1,66",EUR,"3,80",
29-12-2025,03:49,29-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-1,76",EUR,"2,14",
29-12-2025,03:49,29-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 1,76 EUR",,,,EUR,"3,90",
27-12-2025,06:45,26-12-2025,,,Ingreso Cambio de Divisa,,EUR,"1,76",EUR,"2,14",
27-12-2025,06:45,26-12-2025,,,Retirada Cambio de Divisa,"1,1801",USD,"-2,08",USD,"0,00",
26-12-2025,07:50,24-12-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE0031442068,Dividendo,,USD,"2,08",USD,"2,08",
25-12-2025,07:43,25-12-2025,,,Degiro Cash Sweep Transfer,,EUR,"-0,38",EUR,"0,38",
25-12-2025,07:43,25-12-2025,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 0,38 EUR",,,,EUR,"0,76",
25-12-2025,06:44,24-12-2025,,,Ingreso Cambio de Divisa,,EUR,"0,38",EUR,"0,38",
25-12-2025,06:44,24-12-2025,,,Retirada Cambio de Divisa,"1,1808",USD,"-0,45",USD,"0,00",
24-12-2025,07:47,23-12-2025,META PLATFORMS INC CLASS A,US30303M1027,Retención del dividendo,,USD,"-0,08",USD,"0,45",
24-12-2025,07:44,23-12-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividendo,,USD,"0,53",USD,"0,53",
