Ticker Symbol,Type,Requested Amount,Filled Shares,Created At
NU,BUY,600.00 USD,54.66171674,2025-03-13
AMZN,BUY,629.93 USD,3.222409962,2025-03-13
SPY,BUY,250.00 USD,0.461053858,2025-04-03
AMZN,BUY,500.00 USD,2.775891665,2025-04-03
NU,BUY,250.00 USD,24.20645249,2025-04-10
IEV,BUY,1305.62 USD,20.5447679,2025-06-04
ARGT,BUY,1410.33 USD,15.99013605,2025-10-27
NU,BUY,200.00 USD,12.5814603,2025-12-17
AAPL,BUY,1241.65 USD,4.564050725,2026-01-02
IEV,DIVIDEND,20.75 USD,,2025-06-19
SPY,DIVIDEND,0.73 USD,,2025-07-30
SPY,DIVIDEND,0.76 USD,,2025-10-30
IEV,DIVIDEND,13.90 USD,,2025-12-18
ARGT,DIVIDEND,10.09 USD,,2026-01-06
SPY,DIVIDEND,0.83 USD,,2026-01-29
AAPL,DIVIDEND,1.08 USD,,2026-02-11
