Fecha,Broker,Acción,Tipo,Ticker,ISIN,Cantidad,Precio_orig,Moneda_orig,Coste_orig,Coste_EUR,TC_EUR,Comisión,Valor_EUR,Nombre
2026-01-20,IBKR,BUY,Stock,CSU,CA21037X1006,0.1506,2748.86,CAD,413.98,256.36,0.619266,0.62,0,CSU
2026-01-20,IBKR,BUY,Stock,URA,US37954Y8710,5.0,55.11,USD,275.55,236.74,1.1639,0.86,0,URA
2026-01-20,IBKR,BUY,Stock,URA,US37954Y8710,5.0,55.11,USD,275.55,236.74,1.1639,0.0,0,URA
2026-01-22,IBKR,BUY,Stock,CSU,CA21037X1006,0.2037,2708.89,CAD,551.8,341.48,0.618845,0.62,0,CSU
2026-01-26,IBKR,BUY,Stock,CSU,CA21037X1006,0.215,2790.0,CAD,599.85,369.18,0.615448,0.62,0,CSU
2026-01-27,IBKR,BUY,Stock,CSU,CA21037X1006,0.1465,2730.1,CAD,399.96,245.6,0.614061,0.61,0,CSU
2026-01-28,IBKR,BUY,Stock,CSU,CA21037X1006,0.1381,2678.9,CAD,369.96,226.5,0.612228,0.61,0,CSU
2026-01-28,IBKR,BUY,Stock,CSU,CA21037X1006,0.058,2581.87,CAD,149.75,91.68,0.612228,0.46,0,CSU
2026-01-28,IBKR,BUY,Stock,LTRX,US5165482036,2.0,8.125,USD,16.25,13.52,1.2018,0.14,0,LTRX
2026-01-28,IBKR,BUY,Stock,LTRX,US5165482036,35.0,8.1,USD,283.5,235.9,1.2018,0.7,0,LTRX
2026-01-28,IBKR,BUY,Stock,LTRX,US5165482036,0.0306,7.96,USD,0.24,0.2,1.2018,0.0,0,LTRX
2026-01-28,IBKR,BUY,Stock,LTRX,US5165482036,0.0008,7.99,USD,0.01,0.01,1.2018,0.0,0,LTRX
2026-01-29,IBKR,BUY,Stock,CSU,CA21037X1006,0.0791,2528.0,CAD,199.96,123.32,0.616698,0.62,0,CSU
2026-01-29,IBKR,SELL,Stock,LTRX,US5165482036,37.0,7.035,USD,260.3,217.32,1.1978,0.84,0,LTRX
2026-01-29,IBKR,SELL,Stock,LTRX,US5165482036,0.0314,7.03,USD,0.22,0.18,1.1978,0.0,0,LTRX
2026-02-02,IBKR,BUY,Stock,URA,US37954Y8710,1.0,53.85,USD,53.85,45.45,1.1849,0.45,0,URA
2026-02-02,IBKR,BUY,Stock,URA,US37954Y8710,0.8571,53.84,USD,46.15,38.94,1.1849,0.39,0,URA
2026-02-03,IBKR,BUY,Stock,CSU,CA21037X1006,0.0606,2474.89,CAD,149.98,92.96,0.61984,0.46,0,CSU
2026-02-03,IBKR,BUY,Stock,CSU,CA21037X1006,0.1777,2250.0,CAD,399.82,247.83,0.61984,0.62,0,CSU
2026-02-04,IBKR,BUY,Stock,URA,US37954Y8710,1.0,52.3493,USD,52.35,44.3,1.1816,0.44,0,URA
2026-02-04,IBKR,BUY,Stock,URA,US37954Y8710,1.0,52.345,USD,52.34,44.3,1.1816,0.4,0,URA
2026-02-04,IBKR,BUY,Stock,URA,US37954Y8710,0.8654,52.34,USD,45.3,38.33,1.1816,0.0,0,URA
2026-02-04,IBKR,BUY,Stock,URA,US37954Y8710,0.0002,52.35,USD,0.01,0.01,1.1816,0.0,0,URA
2026-02-06,IBKR,BUY,Stock,AMZN,US0231351067,0.2197,204.96,USD,45.03,38.23,1.1778,0.38,0,AMZN
2026-02-06,IBKR,BUY,Stock,AMZN,US0231351067,1.0,204.95,USD,204.95,174.01,1.1778,0.47,0,AMZN
2026-02-10,IBKR,BUY,Stock,CSU,CA21037X1006,0.1226,2445.53,CAD,299.82,185.71,0.619405,0.62,0,CSU
