orderNumber,code,direction,quantity,dividend,timePaid
,FB_US_EQ,buy,0.6556739,0.26,2024-09-26T12:17:44+03:00
,FB_US_EQ,buy,0.6556739,0.26,2024-06-26T14:30:09+03:00
,BABA_US_EQ,buy,3.9725981,3.65,2024-07-12T14:38:10+03:00
,BABA_US_EQ,buy,3.9725981,2.41,2024-07-12T14:45:36+03:00
,TCEHY_US_EQ,buy,3.934227,1.60,2024-06-17T16:26:02+03:00
,FB_US_EQ,buy,0.6556739,0.26,2024-03-26T14:32:05+02:00
,BABA_US_EQ,buy,3.9725981,3.65,2024-01-18T12:35:36+02:00
,TCEHY_US_EQ,buy,3.934227,1.10,2023-06-21T13:55:09+03:00
,TCEHY_US_EQ,buy,3.934227,6.09,2023-04-12T15:41:06+03:00
,TCEHY_US_EQ,buy,3.934227,0.76,2022-06-22T10:43:34+03:00
