orderNumber,code,direction,quantity,price,priceConverted,closePrice,closePriceConverted,result,resultWallet,cost,time
POS1826457243,SQ_US_EQ,buy,1.170076,117.11205084,106.67683125,65.79,58.9865,-55.80,-55.80,-69.02,2024-09-26T16:33:21.000+03:00
POS1761892932,BABA_US_EQ,buy,3.9725981,108.86326508,100.53622087,102.88,92.20869,-33.08,-33.08,-366.31,2024-09-26T16:30:15.000+03:00
POS8500039482,NU_US_EQ,buy,2.159039,10.46298839,9.56444048,14.78,13.24848,7.95,7.95,-28.6,2024-09-26T16:30:08.000+03:00
POS1761892572,SHOP_US_EQ,buy,3.387701,72.54182113,64.42422162,80.81,72.43636,27.14,27.14,-245.39,2024-09-26T16:30:07.000+03:00
POS8500039482,NU_US_EQ,buy,12.844,10.46521308,9.56606192,14.82,13.28421,47.75,47.75,-28.6,2024-09-26T16:30:04.000+03:00
POS8500039482,NU_US_EQ,buy,101.9,10.46542511,9.56621838,14.84,13.30214,380.69,380.69,-28.6,2024-09-26T16:30:04.000+03:00
POS8951117412,BA_US_EQ,buy,3.298344,202.48039622,186.34502647,154,138.04355,-159.31,-159.31,-455.32,2024-09-26T16:30:03.000+03:00
POS1826457235,MELI_US_EQ,buy,0.27947405,866.44896011,803.93868411,2144,1921.85301,312.43,312.43,-537.11,2024-09-26T16:30:03.000+03:00
POS1826457239,FB_US_EQ,buy,0.6556739,208.99108536,190.36902338,575,515.42233,213.13,213.13,-337.95,2024-09-26T16:30:03.000+03:00
POS1761892572,SHOP_US_EQ,buy,2.037,72.54040361,64.42567065,80.55,72.2033,15.84,15.84,-245.39,2024-09-26T16:30:02.000+03:00
POS1826457262,TCEHY_US_EQ,buy,3.934227,48.21023291,44.41787421,55,49.30127,19.21,19.21,-193.96,2024-09-26T15:00:04.000+03:00
POS8851199207,PLTR_US_EQ,buy,32.751651,16.59000336,15.24350635,20.72,19.49622,139.28,139.28,-638.53,2024-04-22T16:30:19.000+03:00
